Unit 9.1,,,
,make a den,,
,make friends,,
,bake a cake,,
,go rock climbing,,
,on a zip wire,,
,explore a new place,,
,design a t-shirt,,
Unit 9.2,,,
,web address/URL,The unique address of a website that you type into the browser to visit a page. eg: www.freetheanimals.com,Type the web address (URL) into the address bar to visit the website.
,refresh,To reload a webpage to see new or updated content.,"If the webpage is not loading, click the refresh button to try again."
,bookmark star,A button in a web browser that lets you save a website so you can find it easily later.,I clicked the bookmark star to save my favorite website for later.
,address bar,The space at the top of a web browser where you type a website’s URL.,You can type ‘www.cambridge.org’ in the address bar to find learning resources.
,minimise,To make a window smaller so it doesn’t take up the screen but is still open.,Google is a popular search engine that helps us find information online.
,search engine,A website like Google or Bing that helps you find information on the internet.,
,go forward,A button in a web browser that takes you to the next page you visited after going back.,I clicked ‘go forward’ to return to the page I was just on.
,go back,A button that takes you to the last webpage you visited.,"If you make a mistake, just click ‘go back’ to return to the previous page."
,friendship bracelets,"Colorful bracelets made of thread or beads, given to friends as a symbol of friendship.",My best friend and I made matching friendship bracelets in different colors.
,pet rocks,A fun toy where people keep decorated rocks as pretend pets.,My pet rock has googly eyes and a tiny painted smile.
,wall painting,"A picture or artwork painted directly onto a wall, like a mural.",The wall painting in our school shows a beautiful picture of the ocean.
,survive in the wild,"To live outdoors without modern tools by finding food, water, and shelter.","To survive in the wild, you need to find clean water and build a shelter."
,wildflowers,Flowers that grow naturally without being planted by people.,We saw bright yellow wildflowers growing near the river.
,wildlife,"Animals that live in nature without human care, like birds, deer, or foxes.","The safari park is home to many types of wildlife, including lions and giraffes."
,nature trail,"A walking path in a natural area, like a forest or park, where people can explore and learn about plants and animals.",We followed the nature trail through the forest and saw birds and squirrels.
,campfire,"A fire built outdoors for warmth, cooking, or storytelling while camping.",We roasted marshmallows over the campfire and told funny stories.
9.3,,,
,Torch,"A handheld light powered by batteries, used in the dark.",I used my torch to see inside the dark tent at night.
,waterproof jacket,A jacket that keeps you dry in the rain.,She wore a waterproof jacket to stay dry in the rain.
,sleeping bag,"A warm, zip-up bag used for sleeping outdoors or while camping.",I zipped up my sleeping bag to keep warm while camping.
,Sweatshirt,"A warm, long-sleeved shirt, often made of soft fabric.",He put on a sweatshirt because it was cold outside.
,sun cream,A lotion that protects your skin from sunburn.,Don't forget to apply sun cream before going to the beach!
,tracksuit bottoms,"Comfortable, loose-fitting trousers often worn for sports or relaxing.",I wear tracksuit bottoms when I go jogging in the park.
,sunglasses,Glasses with dark lenses that protect your eyes from the sun.,She put on her sunglasses because the sun was too bright.
,cap,A type of hat with a curved front to protect your face from the sun.,He wore a cap to protect his face from the sun.
,backpack,"A bag carried on the back, used for school, travel, or hiking.",I packed my books and lunch in my backpack before school.
,tent,"A shelter made of fabric, used for sleeping outdoors.",We set up our tent near the lake for the night.
,insect repellent,A spray or lotion that keeps insects like mosquitoes away.,I sprayed insect repellent on my arms to keep mosquitoes away.
,rope walking,"A balancing activity where you walk along a rope, often used in adventure parks.",
,trekking,"A long and difficult walk, usually in the mountains or countryside.",Trekking in the mountains can be tiring but exciting.
,nature trail,"A path through nature, made for walking and exploring.",We followed the nature trail and spotted different birds and animals.
,sightseeing,Visiting famous places and attractions while traveling.,"During our trip, we went sightseeing and visited many famous places."
9.4,,,
,date of birth,"The day, month, and year when a person was born.",Please write your date of birth on the form.
,guest,A person invited to stay at a place or attend an event.,We have a guest staying at our house this weekend.
,passport number,A special number on a passport used to identify a traveler.,You need to write your passport number on the travel form.
,refreshment,A small drink or snack to make you feel refreshed.,"After the long walk, we stopped for some refreshments."
,smooties,"A thick, blended drink made of fruit, milk, or yogurt.",I love drinking smoothies made with fresh strawberries and bananas.
,craft,"An activity where you make things with your hands, like painting or making paper models.",We made beautiful paper flowers in our craft lesson.
,persuasive,Able to make people agree with you or do something through convincing words.,She gave a persuasive speech about why we should recycle more.
,school grounds,"The area around a school, including buildings, fields, and playgrounds.",Students are not allowed to leave the school grounds during lunchtime.
,compliment,A nice thing you say to someone to make them feel good.,She gave me a nice compliment about my new haircut.
9.5,,,
,Nervous,Feeling worried or scared about something.,I felt nervous before my big test.
,Upset,Feeling sad or annoyed about something.,He was upset because he lost his favorite toy.
,sick/funny,Feeling unwell or strange in your stomach.,I ate too much ice cream and now I feel a bit sick/funny.
,admit,"To say that something is true, even if it is difficult to say.",He had to admit that he forgot to do his homework.
,support,To help or encourage someone.,My friends support me when I feel sad.
,advice,Helpful suggestions or ideas given to someone.,My teacher gave me good advice on how to improve my writing.
,actually,"A word used to show the truth or to correct a mistake (e.g., ""I thought it was blue, but actually, it's green"").","I thought the test was tomorrow, but actually, it’s today!"
,pile,A group of things stacked on top of each other.,There was a big pile of books on my desk.
,football season,The time of year when football matches are played regularly.,"Football season starts in September, and I can't wait to watch the matches!"